FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG01512	HG01512	-0.00804238	-0.0276922	0.0134205	-0.0117702	-0.0134086	-0.0243184	-0.0272163	0.0236669	0.029203	-0.0175834
HG01513	HG01513	-0.00845253	-0.0252083	0.0154462	-0.0167379	-0.00798629	-6.49833e-05	-0.00392607	-0.00266568	0.0102884	0.0283827
HG01515	HG01515	-0.00786664	-0.0278151	0.0039882	-0.0240293	0.0197047	-0.0136995	0.0171259	-0.0171701	-0.0202774	0.00155635
HG01516	HG01516	-0.00830456	-0.029904	0.0131962	-0.0222719	0.00276695	0.0254303	0.0226397	-0.021913	0.0316479	0.0271543
HG01518	HG01518	-0.00910739	-0.0254273	0.0128005	-0.0130713	-0.0313346	-0.0289062	-0.0236097	-0.0274657	-0.0106521	-0.0494065
HG01519	HG01519	-0.0113458	-0.0280447	0.0155705	-0.0239841	-0.0184668	-0.0141148	0.0140234	-0.0128237	0.0155527	-0.000126511
HG01521	HG01521	-0.00943518	-0.0292758	0.0120894	-0.0185458	0.0418245	-0.0355872	0.016535	0.0188462	0.0123665	0.0137382
HG01522	HG01522	-0.0105118	-0.0259142	0.0180481	-0.0119624	-0.0292669	-0.00607689	-0.0102348	-0.00281981	0.000104874	-0.0199125
HG01524	HG01524	-0.00741999	-0.0239951	0.010083	-0.0219894	0.00748605	0.0025125	0.0220516	0.00331347	0.0141986	0.0318255
HG01525	HG01525	-0.0108707	-0.0294423	0.0112038	-0.0279788	0.00779093	-0.0218909	0.0179556	-0.0189263	-0.0119709	-0.00911716
HG01527	HG01527	-0.00741699	-0.0216803	0.0138048	-0.0178555	-0.00947826	-0.0309389	0.0432636	0.0266194	0.0405353	0.0229683
HG01528	HG01528	-0.00941323	-0.0285743	0.0137755	-0.029523	-0.0221392	-0.0225449	0.0208456	0.0151159	0.0090465	-0.0172097
HG01530	HG01530	-0.00675301	-0.0232317	0.013124	-0.0150461	-0.0182704	-0.0112884	-0.00907822	-0.00220708	0.0134236	-0.0396342
HG01531	HG01531	-0.00801955	-0.0281703	0.0198765	-0.0180627	-0.0208297	-0.0142269	-0.0528142	0.00419058	-0.0112014	0.00375392
HG01536	HG01536	-0.0101166	-0.0260821	0.0140647	-0.0192272	-0.0232349	-0.00679735	-0.0192691	0.0216979	-0.0237894	-0.0138105
HG01537	HG01537	-0.00719245	-0.0304917	0.00697481	-0.015494	-0.000794045	-0.000794608	-0.0140157	0.000931618	0.0297482	-0.00741008
HG01550	HG01550	-0.00929955	-0.0159829	0.0195253	-0.00128067	0.00251063	0.00505328	0.0464484	-0.00979643	0.0586499	0.0165898
HG01551	HG01551	0.00334883	-0.0101417	0.0113107	0.00551966	0.0164609	-0.00169936	-0.00167789	-0.0103738	0.00506194	0.00414109
HG01556	HG01556	0.000201186	-0.000708605	0.0172551	0.0192344	0.0166256	0.0126381	0.0010611	-0.0159722	0.0553966	-0.013775
HG01565	HG01565	-0.0130429	0.00570676	0.0440148	0.0667957	0.00805705	-0.026153	0.00240998	0.0148194	-0.030402	-0.0457637
HG01566	HG01566	-0.0142613	-0.0141358	0.0215853	0.0200279	0.0104091	0.0290729	0.00229885	-0.0334631	0.0475246	-0.00871244
HG01571	HG01571	-0.011482	-0.00901658	0.0289816	0.0258803	0.0295688	0.00203815	0.0397298	-0.0394681	-0.00134531	0.0732518
HG01572	HG01572	-0.0164204	0.0113882	0.0564346	0.100092	0.0314556	-0.00319714	-0.0158056	-0.00263446	-0.0150745	-0.00605034
HG01577	HG01577	-0.0132676	-0.00203583	0.0390642	0.05524	-0.0157687	-0.0183602	-0.00717866	0.0132076	-0.0183443	-0.0279124
HG01578	HG01578	-0.0138542	6.68066e-05	0.0412073	0.0427088	-0.0186372	-0.00238454	-0.0217099	0.0106906	-0.0146602	0.0180174
HG01583	HG01583	-0.00918132	-0.0119448	-0.0374726	0.0130122	0.0254885	0.0166515	-0.0132066	-0.0261905	0.00196625	-0.00700619
HG01586	HG01586	-0.00713372	-0.0106229	-0.0327226	0.00679922	0.0340059	-0.0336687	0.0110035	0.0106928	-0.0161405	0.0272259
HG01589	HG01589	-0.00900166	-0.0094784	-0.0255143	0.02024	0.011703	-0.0343757	0.013945	0.038772	0.00918811	-0.00017955
HG01593	HG01593	-0.0110025	-0.0110392	-0.024971	0.0150478	0.0135901	-0.00127877	0.00468646	0.00662056	-0.0111099	-0.00332614
HG01595	HG01595	-0.0182506	0.0314294	0.00261564	-0.0178689	-0.0022507	0.0142906	-0.00786227	-0.0193095	0.0119581	0.00682225
HG01596	HG01596	-0.015738	0.0318922	0.00406746	-0.0159643	-0.012977	-0.0297418	-0.0223745	0.00796287	0.000551021	-0.0104775
HG01597	HG01597	-0.016495	0.0282959	-0.000965977	-0.0153436	-0.0112951	-0.0290974	-0.0213864	-0.0254583	-0.0135912	-0.0115068
HG01598	HG01598	-0.0175747	0.0342704	-0.00135323	-0.0140923	0.013487	-0.0321311	-0.0308033	-0.0446602	-0.0101679	0.00370209
HG01599	HG01599	-0.0163808	0.0304698	0.00276612	-0.0183834	-0.010361	-0.0360977	-0.0167708	0.0024428	0.00432413	0.00407628
HG01600	HG01600	-0.0150966	0.0311415	0.000868762	-0.00353009	0.031553	-0.00618205	0.00950647	0.00394835	-0.00264124	0.00222384
HG01602	HG01602	-0.00643683	-0.0224543	0.00905723	-0.013916	-0.0170517	-0.0211608	0.0212234	-0.0193297	-0.0412293	-0.0278183
HG01603	HG01603	-0.00905057	-0.0297212	0.00627531	-0.0173209	-0.0230577	-0.000542782	0.009554	-0.000362859	0.016896	-0.00133103
HG01605	HG01605	-0.00740167	-0.0222471	0.00667522	-0.0179858	-0.0236474	-0.0356457	0.0402462	-0.0431454	-0.00330647	0.0265179
HG01606	HG01606	-0.00947821	-0.0245343	0.00748544	-0.0223911	-0.0268404	-0.00217887	0.0190178	-0.00426598	0.0134487	0.00797347
HG01607	HG01607	-0.00763739	-0.0272901	0.0156627	-0.014126	-0.00655535	-0.0422942	0.0137331	0.0438004	0.00626023	0.0140458
HG01608	HG01608	-0.00740697	-0.0240736	0.0163163	-0.0175038	-0.0169712	-0.0117443	0.0459961	-0.0186366	0.0186768	0.0474527
HG01610	HG01610	-0.00861865	-0.0238555	0.00500721	-0.0152185	-0.0134169	0.00526111	0.0007567	0.00194318	0.0228149	0.00108842
HG01612	HG01612	-0.00670711	-0.023268	0.013346	-0.017278	0.0266115	-0.0376303	0.0498266	0.0236321	0.0217139	-0.0243862
HG01613	HG01613	-0.00925443	-0.0289387	0.00609773	-0.0103104	-0.0249927	-0.0280637	0.0274266	-0.0429825	-0.0559432	-0.00825685
HG01615	HG01615	-0.0080833	-0.0241408	0.0153898	-0.0215879	-0.016463	-0.00706727	0.0157482	-0.0063309	0.0106714	-0.00309002
HG01617	HG01617	-0.0098934	-0.0249358	0.011521	-0.0178496	-0.0128176	-0.0270292	-0.00458429	-0.0538765	-0.0331552	-0.00462328
HG01618	HG01618	-0.00716555	-0.0275517	0.0087512	-0.025029	0.00839074	-0.0340437	0.0063317	0.040593	0.00269623	0.0674134
HG01619	HG01619	-0.00762208	-0.0253967	0.00740091	-0.0196775	0.030127	-0.0175302	0.0134677	-0.00412899	-0.00523904	-0.0204176
HG01620	HG01620	-0.00821124	-0.0269708	0.0157774	-0.0196435	-0.00102248	-0.0144741	0.00539607	-0.00768414	-0.00151686	-0.00386462
HG01623	HG01623	-0.009026	-0.0298039	0.0135117	-0.0149216	-0.026603	-0.0358373	-0.0172551	-0.0161022	-0.0231096	-0.00528623
HG01624	HG01624	-0.00827135	-0.0262844	0.00452474	-0.0169602	0.0260865	-0.00079743	0.0153206	-0.0186552	0.0336605	0.0139706
HG01625	HG01625	-0.00942094	-0.0277279	0.013851	-0.0199049	0.00549869	0.00523609	0.0229964	-0.00790971	0.0421452	-0.0260388
HG01626	HG01626	-0.00735879	-0.0237631	0.0101621	-0.0171385	-0.0250532	-0.0299675	0.0201607	-0.0110252	0.0109019	0.0351575
HG01628	HG01628	-0.00433775	-0.0275046	0.00268835	-0.0136876	0.000134432	-0.0387509	0.0363509	0.0126732	0.0144165	-0.00583198
HG01630	HG01630	-0.00713291	-0.0263744	0.0168068	-0.020084	-0.0229919	-0.00215851	0.00967166	-0.0129219	0.0157817	-0.0183508
HG01631	HG01631	-0.00895067	-0.0274865	0.00648305	-0.0203386	-0.0104526	-0.00112696	0.0245126	-0.0110698	0.019299	0.022827
HG01632	HG01632	-0.00765315	-0.0229903	0.00763652	-0.0313139	0.0194303	-0.011133	0.0259702	-0.00414105	0.0229072	0.0152753
HG01668	HG01668	-0.00911404	-0.0277003	-0.00464502	-0.00488956	0.0275617	-0.0230486	0.022576	0.0351001	0.0264345	-0.0270656
HG01669	HG01669	-0.00815733	-0.0267249	0.0034773	-0.0154866	0.0182383	-0.00981812	0.0180473	0.0228159	-0.0105813	-0.0186088
HG01670	HG01670	-0.00840707	-0.0249589	0.0123176	-0.015027	-0.011472	-0.0520433	0.0273911	0.0193111	0.00561736	0.00996935
HG01672	HG01672	-0.00957655	-0.0277105	0.0118971	-0.0224088	-0.0157009	-0.0126086	0.0109663	-0.0262125	-0.00637293	0.00454394
HG01673	HG01673	-0.00756949	-0.0254475	0.00809414	-0.0205493	-0.0143272	-0.0144192	0.0197215	-0.0507139	-0.0280919	-0.00786864
HG01675	HG01675	-0.00890416	-0.0237078	0.00879457	-0.0221163	0.00322885	0.00777111	0.00991968	-0.0308312	0.015656	0.012722
HG01676	HG01676	-0.0114349	-0.0243164	0.0168837	-0.0223449	-0.000628343	-0.0224942	0.0210065	-0.0218696	-0.000296065	-0.0283731
HG01678	HG01678	-0.00811184	-0.0225357	0.0118566	-0.0288724	-0.0284631	-0.0275305	0.000867082	-0.0101662	0.0171679	-0.0503184
HG01679	HG01679	-0.00823027	-0.0262395	0.00698039	-0.0205733	0.00366275	-0.0275955	-0.00042301	0.0358002	0.0161546	-0.0247871
HG01680	HG01680	-0.00774292	-0.02714	0.0150472	-0.00758851	-0.0315676	-0.0168196	-0.000463664	-0.0306466	-0.0358868	0.0130955
HG01682	HG01682	-0.00869665	-0.0291586	0.0154471	-0.015576	-0.0329513	-0.0372788	-0.00647028	0.000220831	-0.0332229	-0.0233424
HG01684	HG01684	-0.0101233	-0.0284085	0.00779994	-0.0175497	0.0267313	0.00783624	-0.0012545	0.0136696	0.0449201	-0.00921157
HG01685	HG01685	-0.00962177	-0.023651	0.013299	-0.0249544	-0.0209222	-0.00647872	0.00853274	-0.040204	-0.0220502	0.0114782
HG01686	HG01686	-0.0102363	-0.0230179	0.0170355	-0.0111691	-0.0291627	-0.0197351	0.00553103	0.0288424	0.00198146	-0.0104777
HG01694	HG01694	-0.00615059	-0.0272958	0.0106256	-0.00958709	0.00484727	-0.0217481	0.0393168	0.0124914	-0.0112238	0.0143803
HG01695	HG01695	-0.00889682	-0.0297661	0.00941442	-0.0260605	0.0079619	-0.0013788	0.0121935	-0.0140345	0.0342941	-0.0155
HG01697	HG01697	-0.00820477	-0.0231951	0.0154083	-0.0174137	-0.00547527	-0.0129201	0.00846868	0.0221541	0.0477861	0.0334398
HG01699	HG01699	-0.0072775	-0.0277365	0.00747994	-0.0165405	-0.0238884	-0.0286009	0.0200723	-0.0438245	-0.0159164	0.0203845
HG01700	HG01700	-0.00966391	-0.0289275	0.0108017	-0.0159855	-0.0158961	-0.0221475	-0.0068358	0.0162889	-0.0169365	0.0069429
HG01702	HG01702	-0.00808286	-0.0302525	0.0177783	-0.0208864	-0.0236404	-0.0322008	0.00312738	0.00940815	0.0285015	0.0109256
HG01704	HG01704	-0.00999818	-0.0245494	0.0111504	-0.0176707	0.00515713	-0.00770448	-0.00506096	-0.00725476	0.0155009	0.00625789
HG01705	HG01705	-0.00968747	-0.0241346	0.00980486	-0.0170147	-0.00886044	-0.0150575	0.0308915	0.000719043	0.0352413	-0.000170498
HG01707	HG01707	-0.00617175	-0.0241892	0.013742	-0.0196739	-0.0151407	-0.00307781	0.00845707	-0.018421	0.00172551	-0.0239968
HG01708	HG01708	-0.00665715	-0.0229691	0.0122164	-0.0228862	-0.0213807	0.00829874	0.0142718	-0.0239718	-0.0304666	0.0193694
HG01709	HG01709	-0.00643415	-0.0266456	0.0158501	-0.0196793	-0.0207336	-0.00374232	0.018622	0.0094722	0.0271062	0.0239132
HG01710	HG01710	-0.010304	-0.027313	0.00244972	-0.0193977	0.0240755	0.00907487	0.0212169	0.000971505	0.0214778	0.000416019
HG01746	HG01746	-0.0065287	-0.0250942	0.0149839	-0.0158761	-0.0229008	-0.0223048	-0.0123701	-0.0372816	-0.0249368	0.00699604
HG01747	HG01747	-0.00897686	-0.0264776	0.00470254	-0.0200521	0.00433288	0.0150369	0.0159638	-0.064831	0.0445156	0.0160331
HG01756	HG01756	-0.00714209	-0.023367	0.00929404	-0.0227285	-0.0153521	-0.0315575	0.0267492	0.00870059	0.0343524	-0.0235347
HG01757	HG01757	-0.00920894	-0.0272425	0.00872228	-0.0195079	0.0164792	0.00644198	0.0135123	-0.0187039	-0.027607	0.0161225
HG01761	HG01761	-0.00921181	-0.0292674	0.01099	-0.0167418	-0.0196952	-0.0139696	-0.00125658	-0.0470678	-0.0269298	0.0117837
HG01762	HG01762	-0.00869396	-0.0287724	0.00437564	-0.0167478	0.0362374	0.0108949	0.0304948	-0.0291424	0.0175509	-0.0138593
HG01765	HG01765	-0.0095895	-0.0242994	0.00964879	-0.0249164	-0.0165668	-0.00809044	0.0152992	-0.0186815	-0.00230932	0.0210057
HG01766	HG01766	-0.00781001	-0.0268817	0.00860069	-0.0175513	-0.0253295	0.00364957	0.0149461	-0.016016	0.00364519	0.0170319
HG01767	HG01767	-0.0101077	-0.0265497	0.0197166	-0.012602	-0.00119738	-0.0441893	0.0384815	-0.0190279	0.0282344	0.0250143
HG01768	HG01768	-0.00815646	-0.0290823	0.00986349	-0.0192052	0.000453174	-0.0153823	0.00103811	0.031518	0.00717267	-0.00677918
HG01770	HG01770	-0.00807235	-0.0282184	0.0152416	-0.0194362	-0.0127134	-0.0248555	0.0126846	-0.00633062	-0.0216656	-0.00457429
HG01771	HG01771	-0.00964603	-0.0256402	0.0136732	-0.0228358	-0.03412	-0.0269435	0.0240189	-0.021099	-0.0215197	0.0176922
HG01773	HG01773	-0.00810528	-0.0259545	0.019377	-0.0217413	-0.0131466	-0.00683522	-0.00243862	-0.00510221	0.0269306	-0.0124709
HG01775	HG01775	-0.00878422	-0.0233489	0.0160751	-0.0175149	-0.0284963	0.00191975	0.00955149	0.0181001	0.0101261	-0.00547734
HG01776	HG01776	-0.00972875	-0.0241209	0.0142229	-0.0226297	0.0151741	-0.0300699	0.018491	0.00954311	-0.0015012	0.0161631
HG01777	HG01777	-0.00839442	-0.0273759	0.0171091	-0.0101098	0.0294742	-0.0203859	0.0384192	0.0173291	0.00744956	0.0194168
HG01779	HG01779	-0.00967585	-0.0241605	0.00985981	-0.0257555	-0.0189691	-0.039647	0.00686821	0.0284696	0.0230702	0.0110327
HG01781	HG01781	-0.00776419	-0.0287354	0.016472	-0.020821	0.00539902	0.00407227	-0.00388423	0.0317664	0.0247554	0.0297972
HG01783	HG01783	-0.00733039	-0.0252164	0.00654254	-0.0165699	-0.0188372	0.0200685	0.00362726	-0.0120499	0.00645818	0.0461227
HG01784	HG01784	-0.00855532	-0.0290695	0.0101852	-0.0213337	-0.00757415	-0.0444507	0.0190774	-0.0078352	-0.0322125	0.0108573
HG01785	HG01785	-0.00964896	-0.0305953	0.0161579	-0.0194054	-0.00728986	0.00934849	0.00408776	0.018427	0.0124839	0.00289946
HG01786	HG01786	-0.00857125	-0.0275226	0.00416242	-0.0190968	0.0128077	-0.0258786	0.0456721	0.00403874	-0.0255843	0.0246847
HG01789	HG01789	-0.0101415	-0.0250281	0.0116502	-0.00971559	-0.0180403	-0.0231582	0.0016435	-0.00994911	-0.0151255	0.0175863
HG01790	HG01790	-0.010384	-0.021695	0.00623444	-0.00974569	-0.0293664	-0.0216492	0.00960564	0.0319234	-0.00675276	0.0643358
HG01791	HG01791	-0.00764639	-0.0273306	0.00453564	-0.0219439	0.049342	-0.00651604	0.0157431	-0.00491838	-0.0508074	-0.00991489
HG01794	HG01794	-0.0149264	0.0322805	0.00615842	-0.0175989	0.0347877	-0.019842	-0.00538655	-0.0226467	0.0230763	0.0118736
HG01795	HG01795	-0.0172041	0.0298744	-0.000784835	-0.0214436	0.00264829	0.0103141	-0.0098906	-0.0239767	0.0187629	0.0243022
HG01796	HG01796	-0.0176165	0.0352399	0.00390253	-0.0235971	0.00262146	0.0133337	-0.0330009	-0.00318513	0.0059624	-0.0208474
HG01797	HG01797	-0.0168533	0.035466	0.00390368	-0.00865987	0.0265398	-0.0418466	-0.0298421	0.0117682	0.0234512	-0.00127178
HG01798	HG01798	-0.0157598	0.0350939	0.0055319	-0.0211867	0.0134818	-0.0176947	0.0215934	-0.0157472	-0.0258525	0.0385274
HG01799	HG01799	-0.0163804	0.0346431	0.0017762	-0.0155513	0.00591075	-0.00833853	-0.0206374	-0.0323296	0.00433179	0.00585449
HG01800	HG01800	-0.0163719	0.0342253	0.00146181	-0.0190748	0.0105086	-0.01026	-0.0202936	-0.0346878	0.0352145	0.0450676
HG01801	HG01801	-0.0168383	0.0312865	-0.0026822	-0.0164166	0.0171103	-0.013556	-0.0276977	-0.0127434	0.00803732	-0.0232285
HG01802	HG01802	-0.0183665	0.0365525	-0.00245215	-0.0163465	0.0151042	-0.00407732	-0.0177645	0.00405432	0.0353857	0.0168106
HG01804	HG01804	-0.0157073	0.0356876	-0.000122667	-0.0180144	0.00733385	-0.00413287	0.010402	-0.00513713	0.00415536	0.0223681
HG01805	HG01805	-0.0166682	0.03197	0.00180494	-0.0121058	0.0156546	-0.0325473	-0.0261571	0.00747013	0.0197835	0.0181831
HG01806	HG01806	-0.0173051	0.0335275	0.00905165	-0.0134143	0.00394276	-0.0296414	-0.0370952	-0.0156576	0.0212909	0.00852057
HG01807	HG01807	-0.0150377	0.0309388	0.00597797	-0.0188959	-0.0031203	-0.0349861	-0.0185285	-0.0133725	0.0145858	0.0323114
HG01808	HG01808	-0.016983	0.031334	0.00188551	-0.0200575	0.00642771	0.00505652	-0.0159774	-0.0442849	0.00872638	-0.00898019
HG01809	HG01809	-0.0170137	0.0291153	-0.00247673	-0.0138041	0.016737	-0.043299	-0.0285939	-0.0139085	0.0119116	-0.0289843
HG01810	HG01810	-0.0178376	0.0352339	0.00651117	-0.0178234	0.0162147	-0.0283833	-0.0511056	-0.0121463	0.0292529	-0.00763441
HG01811	HG01811	-0.0175669	0.0317558	0.00585849	-0.0206436	0.0330629	-0.0161518	-0.0253249	-0.0252316	-0.00714097	-0.0066009
HG01812	HG01812	-0.0163496	0.032627	0.00198558	-0.0177776	0.0358022	-0.0168219	-0.0248515	0.00336698	0.00163306	-0.00454429
HG01813	HG01813	-0.0170665	0.0372311	0.00510355	-0.0099396	-0.00160629	-0.0218285	-0.0156964	0.0183201	0.0318974	-0.00500631
HG01815	HG01815	-0.016186	0.030597	-0.000814455	-0.015527	0.0344377	-0.0290651	-0.0172269	-0.00354143	-0.00137675	0.000891785
HG01816	HG01816	-0.0178058	0.0330661	0.0059292	-0.0150761	0.0164763	-0.0275638	-0.0431822	-0.0137371	0.0318192	0.0107728
HG01817	HG01817	-0.0168461	0.032717	-0.00555617	-0.01862	0.00557612	-0.0260126	-0.00137625	-0.0274472	-0.02667	0.0116729
HG01840	HG01840	-0.0176796	0.0307786	0.00408655	-0.0109757	-0.00711045	-0.00704174	-0.0173292	-0.0201777	-0.00107606	-0.00863114
HG01841	HG01841	-0.0165789	0.0315772	0.00268648	-0.0185231	0.00406281	-0.00860224	-0.00521832	-0.040176	-0.0102356	-0.00438352
HG01842	HG01842	-0.0171593	0.0317655	-0.000950317	-0.0180484	-0.000109789	-0.00911103	-0.0284327	-0.0206375	0.00128365	0.0130489
HG01843	HG01843	-0.0164851	0.0337797	-0.00380814	-0.00976263	0.0209502	-0.012279	-0.022717	-0.025722	0.033702	-0.0201789
HG01844	HG01844	-0.0173668	0.029342	-0.00151421	-0.0109887	-0.0144346	-0.0258878	-0.0104042	-0.0160572	0.0128776	-0.0209221
HG01845	HG01845	-0.0148766	0.0316761	0.00622045	-0.00981908	0.0113397	-0.0118055	-0.00449482	0.0155185	-0.0117654	-0.00258549
HG01846	HG01846	-0.0175673	0.030213	-0.000785939	-0.0146217	0.00462232	0.00310836	-0.0263478	-0.0311709	0.0283833	-0.0198141
HG01847	HG01847	-0.0166694	0.0300335	-0.0021192	-0.0159861	0.0569702	0.00382708	-0.00304446	0.0176554	0.0134602	-0.0213775
HG01848	HG01848	-0.0164883	0.0284935	0.00180554	-0.0102102	0.0164898	-0.0280054	-0.0275202	-0.0116117	-0.00836048	-0.00275192
HG01849	HG01849	-0.0164958	0.0293287	-0.000827305	-0.0179848	0.0143218	-0.025415	-0.0370015	-0.026682	0.035883	0.00324815
HG01850	HG01850	-0.0171772	0.0331016	0.00411513	-0.0152914	0.00705863	-0.00269356	-0.012793	-0.0216413	0.0129742	0.0019074
HG01851	HG01851	-0.0164225	0.0349251	0.00561404	-0.0173581	-0.000773514	-0.036591	-0.0319551	-0.0341928	-0.00530676	0.00122845
HG01852	HG01852	-0.0172168	0.0313896	0.000549867	-0.0135986	0.0015573	0.0128699	-0.0155506	-0.00663453	0.0272004	0.0130792
HG01853	HG01853	-0.0163894	0.0310458	-0.0017589	-0.0240256	0.00205539	-0.0107644	-0.00411243	-0.032277	-0.0100177	0.0395201
HG01855	HG01855	-0.0165291	0.0324339	0.0031758	-0.018675	0.000136457	-0.0307902	-0.0474081	-0.00277153	0.0327804	-0.0103907
HG01857	HG01857	-0.0164404	0.0345525	0.00888713	-0.0138754	-0.00836201	-0.0414467	-0.00431767	-0.010058	0.0144011	-0.0157066
HG01858	HG01858	-0.0164083	0.0342466	-0.00465746	-0.0148611	0.0338706	-0.017902	-0.0132576	-0.00356711	-0.000260655	0.00458554
HG01859	HG01859	-0.0181419	0.0336767	-0.00414201	-0.0117056	0.05316	-0.0387755	-0.00855006	-0.0121159	-0.0160831	0.00370242
HG01860	HG01860	-0.0155352	0.0298978	0.00344402	-0.00583146	0.0131092	-0.0206886	-0.0111833	0.0207924	-0.0125898	0.00871161
HG01861	HG01861	-0.0173408	0.0290303	-0.00188918	-0.00838577	-0.00366001	0.00304104	-0.0365982	0.0128754	0.0221661	-0.0137158
HG01862	HG01862	-0.0161936	0.0338146	0.00376709	-0.0148169	-0.00248688	-0.00677139	-0.0255348	-0.0152624	-0.0123681	0.0191965
HG01863	HG01863	-0.0158197	0.0301373	0.00480707	-0.0143846	-0.0062532	-0.0148863	-0.0101441	-0.01986	-0.0182953	-0.0307811
HG01864	HG01864	-0.0147356	0.0304769	-0.004805	-0.0183592	0.006019	-0.00733948	-0.0258522	-0.0304017	0.0138056	-0.00766287
HG01865	HG01865	-0.0160976	0.0303872	0.00553792	-0.00672308	-0.000826862	-0.00910615	-0.0195453	-0.0166557	0.0204531	-0.00474132
HG01866	HG01866	-0.0169031	0.0302933	0.00111457	-0.00779091	0.00342549	-0.0446587	-0.000138423	0.00943698	0.00087954	-0.0317574
HG01867	HG01867	-0.0181198	0.0337509	0.00382348	-0.0103297	0.0399255	-0.0235738	-0.00824468	0.0298708	-0.00450172	0.00671405
HG01868	HG01868	-0.0167831	0.0326383	-0.000516927	-0.019853	-0.00110546	-0.0301063	-0.00748775	-0.0298897	0.0203127	0.00549001
HG01869	HG01869	-0.0164516	0.0341769	0.00453344	-0.0199653	0.0115482	-0.00674272	-0.0192527	-0.0526061	-0.00744143	-0.0188122
HG01870	HG01870	-0.015644	0.0339872	0.000843464	-0.0245259	0.00104361	-0.0230064	-0.0331677	-0.0293385	-0.00345982	-0.0183316
HG01871	HG01871	-0.0159227	0.0345083	0.00107212	-0.0212472	0.0163699	-0.0174578	-0.0295108	-0.00040198	0.0265025	-0.013125
HG01872	HG01872	-0.0153057	0.0347028	0.000428551	-0.0170978	0.031954	-0.00860355	-0.011787	-0.000332633	0.0223613	0.00741816
HG01873	HG01873	-0.0168448	0.0339194	-0.0025155	-0.0158076	0.0483541	-0.0184874	-0.00167408	-0.0218958	-0.0095793	0.0217548
HG01874	HG01874	-0.0171915	0.0354926	0.0093409	-0.0151331	-0.002443	-0.0051949	-0.00299464	0.0156967	0.00943843	0.00137642
HG01878	HG01878	-0.0173972	0.0300749	-0.00682837	-0.0171365	0.0502335	-0.00913623	-0.0256818	-0.027682	0.00384191	0.0220246
HG01879	HG01879	0.0309945	0.00171955	0.00605016	0.00579835	0.0282555	-0.00722075	0.0127918	0.0120898	-0.0222562	-0.00797089
HG01880	HG01880	0.014222	0.000219152	-0.0108539	0.0134255	0.0174397	-0.0212382	0.0160033	0.0312238	-0.0200181	-0.020056
HG01882	HG01882	0.0266406	-0.00119232	0.000168807	-0.00295674	0.0262484	-0.000805122	0.0116543	0.00529948	-0.00345502	0.0215801
HG01883	HG01883	0.0310359	0.00486057	-0.000376691	0.000268123	-0.0202781	-0.00270401	0.00183901	-0.0304066	-0.0199412	-0.0310457
HG01885	HG01885	0.033675	0.00500084	-0.00170934	-0.00254699	-0.00661864	0.0111069	-0.00990346	-0.000367467	0.0184303	0.000732237
HG01886	HG01886	0.0263882	-0.00271391	0.000567381	-0.00314106	-0.00270506	-0.0179285	-0.0131859	0.00321174	-0.012936	0.00257886
HG01889	HG01889	0.0335269	0.00448267	-0.00212883	-0.000593823	0.0092162	-0.00482029	-0.00072168	0.0100492	-0.0131079	0.0105921
HG01890	HG01890	0.0302946	0.00284346	0.00103403	-0.00334544	0.00797275	-0.0121555	-0.00421899	0.00312659	-0.0184442	0.00828255
HG01892	HG01892	-0.00996197	0.00741796	0.0504504	0.0710666	-0.00100847	-0.00554567	-0.000992637	-0.017874	-0.0019143	0.00403593
HG01893	HG01893	-0.00825994	0.00705231	0.0438541	0.0660601	-0.0125119	-0.00624384	-0.0305349	0.00840473	0.00903148	-0.0337727
HG01894	HG01894	0.035396	0.00655067	-0.000494827	-0.00347804	0.0077441	-0.00372031	0.00917297	-0.0020474	-0.0179654	0.0194904
HG01896	HG01896	0.0348605	0.00574244	-0.0012275	-0.000805566	0.0135385	0.000130952	-0.00297558	0.00658285	-0.0350232	0.0119274
HG01912	HG01912	0.0287219	-0.000761607	0.00130692	-0.00375794	-0.0178338	0.0127965	0.00827016	0.00543869	0.0404568	-0.00198248
HG01914	HG01914	0.0208092	-0.0036721	0.00164675	-0.00271541	-0.0244768	-0.00330401	-0.00258424	0.00914257	-0.00256499	0.0155701
HG01915	HG01915	0.0250373	0.0017131	-0.00187788	-0.00797526	-0.0134037	-0.00229469	0.014165	-0.0140979	0.00971112	0.0131064
HG01917	HG01917	-0.0175218	0.010618	0.0464407	0.0889679	0.0197643	0.0169472	-0.0169404	-0.00257026	0.0166446	-0.00771319
HG01918	HG01918	-0.0146708	0.00619902	0.0495629	0.086116	-0.00587813	-0.00343323	0.00466116	0.00382518	0.019974	0.00319682
HG01920	HG01920	-0.0178637	0.0110613	0.0574212	0.0882767	0.0127568	-0.00514852	-0.0133003	0.000959328	-0.00526047	-0.0160743
HG01921	HG01921	-0.0141494	0.00492154	0.0527085	0.0682587	-0.00955144	-0.0107478	-0.0300344	0.0107547	-0.0011138	-0.014143
HG01923	HG01923	-0.0175531	0.0144854	0.0502439	0.0947289	-0.00288022	0.000833817	-0.0266676	0.00624544	-0.00336412	0.0274701
HG01924	HG01924	-0.0146329	0.00638068	0.0537311	0.0791949	0.00949936	0.0138575	0.00766255	0.00940836	-0.00390375	0.0223133
